sample	source	readname_prefix
13409_p1	cells	m64076_220724_072836
13409_s1	blood	m64076_210915_192614
13409_s1	blood	m64076_210919_084306
13409_s1	blood	m64076_210920_181248
13409_s1	cells	m64076_220730_101234
13409_s1	cells	m64076_220804_170229
13414_p1	blood	m84046_231224_094833_s4
13414_p1	blood	m84046_231224_114800_s3
13414_p1	blood	m84046_231229_021255_s2
13456_p1	cells	m84046_230412_170402_s4
13456_p1	cells	m84046_230414_205920_s3
13456_s1	cells	m84046_230411_214854_s2
13456_s1	cells	m84046_230413_204851_s3
13456_s1	cells	m84046_230413_211957_s4
13530_p1	blood	m84046_231222_020436_s4
13530_p1	blood	m84046_231222_040400_s3
13530_p1	blood	m84046_231227_222050_s2
13530_p1	blood	m84046_231228_021937_s3
13561_p1	blood	m84046_230809_220908_s3
13561_p1	blood	m84046_230809_224014_s4
13561_p1	blood	m84046_230815_210423_s2
13561_s1	blood	m84046_230804_211614_s3
13561_s1	blood	m84046_230804_214720_s4
13561_s1	blood	m84046_230808_230043_s1
13561_s1	blood	m84046_230817_224346_s1
13610_p1	blood	m54329U_221024_005226
13610_p1	blood	m54329U_221027_044617
13610_p1	blood	m54329U_221028_140012
13700_p1	blood	m84046_231221_220558_s1
13700_p1	blood	m84046_231222_000516_s2
13700_p1	blood	m84046_231227_222050_s2
13700_p1	blood	m84046_231228_002017_s4
13799_p1	blood	m84046_231003_191641_s3
13799_p1	blood	m84046_231003_194747_s4
13799_p1	blood	m84046_231012_222138_s1
13799_s1	blood	m84046_231003_191641_s3
13799_s1	blood	m84046_231003_194747_s4
13799_s1	blood	m84046_231012_222138_s1
13900_p1	blood	m84046_231023_224307_s1
13900_p1	blood	m84046_231023_231413_s2
13900_p1	blood	m84046_231027_211950_s1
13900_s1	blood	m84046_231023_224307_s1
13900_s1	blood	m84046_231023_231413_s2
13900_s1	blood	m84046_231027_211950_s1
14019_p1	blood	m84046_230926_001301_s1
14019_p1	blood	m84046_230926_004407_s2
14019_s1	blood	m84046_230926_001301_s1
14019_s1	blood	m84046_230926_004407_s2
14027_p1	blood	m54329U_221110_210239
14027_p1	blood	m54329U_221112_061821
14027_p1	blood	m54329U_221113_154330
14027_p1	blood	m64013e_210617_193105
14027_p1	blood	m64013e_210619_013139
14027_p1	blood	m64289_210521_172802
14027_p1	blood	m64289_210522_232637
14027_p1	blood	m64289_210524_053824
14027_p1	cells	m54329U_221110_210239
14027_p1	cells	m54329U_221110_210239-bc2089
14027_p1	cells	m54329U_221112_061821
14027_p1	cells	m54329U_221112_061821-bc2089
14027_p1	cells	m54329U_221113_154330
14027_p1	cells	m54329U_221113_154330-bc2089
14027_s1	blood	m54329U_221115_011024
14027_s1	blood	m64011_210617_192404
14027_s1	blood	m64011_210619_012435
14027_s1	blood	m64011_210620_073606
14027_s1	blood	m64011_210621_134811
14027_s1	blood	m64013e_210620_074306
14027_s1	blood	m64013e_210621_135446
14027_s1	blood	m64076_221113_171014
14027_s1	blood	m64076_221115_023513
14027_s1	cells	m54329U_221115_011024
14027_s1	cells	m54329U_221115_011024-bc2087
14027_s1	cells	m64076_221113_171014
14027_s1	cells	m64076_221113_171014-bc2087
14027_s1	cells	m64076_221115_023513
14027_s1	cells	m64076_221115_023513-bc2087
14105_p1	blood	m64076_221103_205355
14105_p1	blood	m64076_221105_061137
14105_p1	blood	m64076_221106_153657
14133_p1	blood	m54329U_221216_212117
14133_p1	blood	m64076_221203_084301
14133_p1	blood	m64076_221204_180856
14133_p1	blood	m64076_221206_040430
14133_s1	blood	m64076_221209_045445
14133_s1	blood	m64076_221210_141423
14133_s1	blood	m64076_221211_235233
14232_p1	blood	m64001_210908_212119
14232_p1	blood	m64001_210910_064620
14232_p1	blood	m64001_210912_163141
14232_p1	blood	m64009_210908_212027
14232_p1	blood	m64009_210910_064518
14232_p1	blood	m64009_210912_163051
14232_s1	blood	m64001_210902_214306
14232_s1	blood	m64001_210904_064622
14232_s1	blood	m64009_210902_214216
14232_s1	blood	m64009_210904_071334
14270_p1	blood	m84046_230813_032012_s3
14270_p1	blood	m84046_230813_035118_s4
14270_p1	blood	m84046_230815_220635_s4
14270_s1	blood	m84046_230813_032012_s3
14270_s1	blood	m84046_230813_035118_s4
14270_s1	blood	m84046_230815_220635_s4
14317_p1	blood	m84046_231024_225343_s1
14317_p1	blood	m84046_231024_232449_s2
14317_s1	blood	m84046_231024_225343_s1
14317_s1	blood	m84046_231024_232449_s2
14317_s1	blood	m84046_231202_051117_s2
14350_p1	blood	m84046_231013_224010_s1
14350_p1	blood	m84046_231014_170238_s2
